Մակնիշ,Մոդել,Գին(դրամ),Տարի,Վազքը,Մոդիֆիկացիան,Թափքը,Փոխանցման տուփը,Ղեկը,Շարժիչը,Գույնը,Սրահի գույնը,Շարժիչի ծավալը,Ձիաուժը,Մխոցների քանակը,Քարշակը,Դռների քանակը,Անվահեծերը,Մոտոժամը,"Բեռնատարողությունը, կգ / տ",Տեղադրված է
Toyota,Camry ,4608000,2015,145993  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,14.01.2021
Toyota,Alphard ,3600000,2006,125000  կմ ,2.4   4x4,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,14.01.2021
Toyota,Alphard ,3840000,2005,120000  կմ ,3.0,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,14.01.2021
Honda,Stepwgn ,2880000,2006,135000  կմ ,2.0.  4x4,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,14.01.2021
Nissan,Elgrand ,2640000,2003,101000  կմ ,,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Աջ,Բենզին,Ոսկեգույն,Բեժ ,3.5,,6,Ետևի,5,"16""",,,14.01.2021
Mercedes-Benz,B 170 ,2880000,2008,75000  կմ ,1.7 benzin,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Բալագույն,,,,,,,,,,14.01.2021
Nissan,BlueBird ,2544000,2012,54500  կմ ,2.0,Սեդան,Վարիատոր,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,14.01.2021
Opel,Astra ,1536000,2001,162300  կմ ,16 ПОЛНИ  ИЖЕКТОР 094 260626,Ունիվերսալ,Մեխանիկական,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,14.01.2021
Mercedes-Benz,ML 350 ,3120000,2004,135000  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սև,,,,,,,,,,14.01.2021
Mercedes-Benz,ML 350 ,2736000,2003,160000  կմ ,ger vichak,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սև,,,,,,,,,,14.01.2021
Kia,Sorento ,2352000,2004,190000  կմ ,3.5,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Ոսկեգույն,,,,,,,,,,14.01.2021
Nissan,Tiida ,2256000,2009,72000  կմ ,2008-2009 IDIALAKAN VICHAK,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Բեժ ,1.5,109,4,Առջևի,5,"15""",,,14.01.2021
BMW,320 ,1824000,2000,285000  կմ ,,Սեդան,Մեխանիկական,Ձախ,Բենզին,Կապույտ,,,,,,,,,,14.01.2021
Mitsubishi,Pajero ,5616000,2010,131000  կմ ,Manitorov,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,14.01.2021
Toyota,Alphard ,3840000,2008,81000  կմ ,ANTERI VICHAK-MOTOR 3 LITRA,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,14.01.2021
Mercedes-Benz,G 55 AMG ,22080000,2010,110000  կմ ,5.5 AMG (510 Ziauj),Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,14.01.2021
Lexus,LX 570 ,15216000,2009,131000  կմ ,2015 tiv havaqac F-sport,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,14.01.2021
Toyota,Alphard ,8400000,2010,128000  կմ ,RESTAYLING  3.5   LITR,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,14.01.2021
Niva,2121 ,1728000,2006,50000  կմ ,"1,7",Ամենագնաց,Մեխանիկական,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,14.01.2021
VAZ(Lada),2172 Priora ,1680000,2011,136000  կմ ,,Հետչբեք,Մեխանիկական,Ձախ,Գազ,Արծաթագույն,Մոխրագույն,1.6,,,,,,,,14.01.2021
Opel,Zafira ,2016000,2001,159000  կմ ,Opel zafira 1.6i,Մինիվեն /  Միկրոավտոբուս,Մեխանիկական,Ձախ,Բենզին,Սև,,,,,,,,,,14.01.2021
Porsche,Cayenne ,3792000,2006,200000  կմ ,3.2,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սպիտակ,,,,,,,,,,14.01.2021
Opel,Zafira ,Պայ,2003,167000  կմ ,"1,6 CNG",Ունիվերսալ,Մեխանիկական,Ձախ,Գազ,Արծաթագույն,Սև,1.6,105,4,Առջևի,5,"15""",,,14.01.2021
Kia,Forte ,3312000,2014,85000  մղոն ,1.8 doch,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,14.01.2021
Ford,Transit ,1344000,1999,295000  կմ ,miayn kanxika,Պիկապ,Մեխանիկական,Ձախ,Դիզել,Կարմիր,,,,,,,,,,14.01.2021
Mercedes-Benz,B 170 ,2640000,2006,85000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,1.7,,,Առջևի,,"17""",,,14.01.2021
VAZ(Lada),21099 ,480000,1999,180000  կմ ,1.5,Սեդան,Մեխանիկական,Ձախ,Գազ,Կարմիր,,,,,,,,,,14.01.2021
Toyota,Camry ,3792000,2010,75000  մղոն ,miayn kanxika,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,14.01.2021
Kia,Sorento ,5040000,2011,85000  մղոն ,3.5,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կանաչ,,3.5,277,6,Լիաքարշակ,,,,,14.01.2021
Mercedes-Benz,ML 63 AMG ,8640000,2008,156000  կմ ,"6,3 AMG",Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,14.01.2021
Mercedes-Benz,ML 350 ,4560000,2006,200000  կմ ,3.5 mator,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Opel,Astra ,1152000,1994,274000  կմ ,,Ունիվերսալ,Մեխանիկական,Ձախ,Գազ,Բալագույն,,,,,,,,,,13.01.2021
Nissan,BlueBird ,2064000,2006,180000  կմ ,Avtomat 1.5,Սեդան,Ավտոմատ,Աջ,Գազ,Սպիտակ,,,,,,,,,,13.01.2021
Toyota,Corolla ,4416000,2012,85000  մղոն ,1.8 S,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,1.8,132,4,Առջևի,5,"16""",,,13.01.2021
Toyota,Alphard ,3744000,2005,126000  կմ ,3.0L,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Nissan,Teana ,2160000,2006,214350  կմ ,JM230,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Շագանակագույն,2.3,173,6,,4,"16""",,,13.01.2021
Infiniti,FX45 ,4464000,2004,160000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սև,,4.5,316,8,Լիաքարշակ,4,"20""",,,13.01.2021
Ford,Transit ,Պայ,2006,180000  կմ ,NOR BERVAC PRASTOY MATOR 2006թ,Ֆուրգոն,Մեխանիկական,Ձախ,Դիզել,Սպիտակ,,,,,,,,,,13.01.2021
Mercedes-Benz,C 180 ,10560000,2016,71000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Kia,Sorento ,3120000,2005,106000  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Ոսկեգույն,,,,,,,,,,13.01.2021
Mitsubishi,Outlander ,7680000,2016,70000  կմ ,,Ամենագնաց,Վարիատոր,Ձախ,Գազ,Սպիտակ,,,,,,,,,,13.01.2021
Mitsubishi,Airtrek ,1920000,2004,200000  կմ ,2.0 Turbo,Ունիվերսալ,Ավտոմատ,Աջ,Բենզին,Սպիտակ,,,,,,,,,,13.01.2021
Mercedes-Benz,S 550 ,Պայ,2011,11  կմ ,w221 Restyle,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
BMW,320 ,6240000,2013,140000  կմ ,2.0,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,2.0,183,4,Ետևի,5,"17""",,,13.01.2021
Mercedes-Benz,E 320 ,2352000,2001,244000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Գազ,Սև,,,,,,,,,,13.01.2021
Mercedes-Benz,E 320 ,3024000,2003,205000  կմ ,3.2,Սեդան,Ավտոմատ,Ձախ,Գազ,Մոխրագույն,,,,,,,,,,13.01.2021
Toyota,Land Cruiser 200 ,16320000,2011,70000  կմ ,,Ունիվերսալ,Ավտոմատ,Ձախ,Գազ,Այլ գույն,Շագանակագույն,4.7,288,8,Լիաքարշակ,5,"20""",,,13.01.2021
BMW,X5 ,5520000,2007,132000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Սև,4.8,,8,Լիաքարշակ,,"20""",,,13.01.2021
Toyota,Camry ,3504000,2010,150000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Mercedes-Benz,E 320 ,3360000,2001,68000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,13.01.2021
Honda,Odyssey ,2880000,2007,145000  կմ ,3.4 L,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Ոսկեգույն,,,,,,,,,,13.01.2021
Mercedes-Benz,C 300 ,4560000,2010,208000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,3.0,231,6,Ետևի,5,"17""",,,13.01.2021
Chrysler,200 ,4080000,2014,125000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,13.01.2021
Mitsubishi,Pajero ,8064000,2012,63000  կմ ,3.8 V6,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Սև,3.8,249,6,Լիաքարշակ,3,"18""",,,13.01.2021
Mercedes-Benz,S 500 ,22080000,2014,92000  կմ ,,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Toyota,Corolla ,3552000,2008,160000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Honda,Accord ,2160000,2002,245000  կմ ,"ԳԱԶԻ ԲԱԼՈՆ 1,6,ԻԺԵԿՏՈՐ,ՖՈՒԼ",Սեդան,Ավտոմատ,Աջ,Գազ,Արծաթագույն,,2.4,,,,4,,,,13.01.2021
Ford,Transit ,5280000,2012,100000  կմ ,2.2 TDI,,Մեխանիկական,Ձախ,Դիզել,Սև,,2.2,100,,,,,,1500,13.01.2021
Nissan,X-Trail ,2736000,2006,125000  կմ ,T30,Ունիվերսալ,Ավտոմատ,Ձախ,Գազ,Սպիտակ,,,,,,,,,,13.01.2021
Ford,Transit ,3504000,2000,240000  կմ ,2.4,,Մեխանիկական,Ձախ,Դիզել,Սպիտակ,,2.4,90,4,Ետևի,5,,,1500,13.01.2021
Lexus,RX 330 ,5040000,2005,130000  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Արծաթագույն,Բեժ ,3.3,,6,Լիաքարշակ,5,,,,13.01.2021
Porsche,Macan ,12000000,2019,9545  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սպիտակ,,,,,,,,,,13.01.2021
Nissan,March ,1296000,2004,130000  կմ ,,Հետչբեք,Ավտոմատ,Աջ,Գազ,Սպիտակ,Բեժ ,1.2,,4,Առջևի,5,"15""",,,13.01.2021
Mercedes-Benz,GL 500 ,10320000,2011,95000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սպիտակ,,,,,,,,,,13.01.2021
Mazda,CX9 ,6200000,2012,117172  մղոն ,facelift 3.7,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,13.01.2021
Mercedes-Benz,CLS 55 AMG ,12720000,2013,100000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Toyota,Camry ,7200000,2016,12800  մղոն ,Camry-SE,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Mini,Cooper ,1824000,2002,120000  կմ ,,Սեդան,Ավտոմատ,Աջ,Բենզին,Այլ գույն,,,,,,,,,,13.01.2021
Volkswagen,Jetta ,1008000,2018,94876  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,1.4,,,,,,,,13.01.2021
Toyota,Corolla ,4368000,2020,8519  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,1.8,,,,,,,,13.01.2021
Infiniti,QX60 ,4080000,2018,44663  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,3.5,,,,,,,,13.01.2021
Kia,Soul ,1728000,2018,25563  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,1.6,,,,,,,,13.01.2021
Tesla,Model 3 ,10080000,2020,86  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,,,,,,,,,,13.01.2021
Kia,Sorento ,4944000,2015,73704  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,13.01.2021
Honda,Civic ,2544000,2018,16744  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,1.5,,,,,,,,13.01.2021
Nissan,Titan ,10800000,2018,11517  մղոն ,,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,5.6,,,,,,,,13.01.2021
Mercedes-Benz,CLA 250 ,14880000,2020,18  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,2.0,,,,,,,,13.01.2021
Toyota,Rav 4 ,6960000,2017,41408  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,13.01.2021
Toyota,Rav 4 ,6864000,2016,58934  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Toyota,Rav 4 ,6480000,2018,22051  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,13.01.2021
Opel,Zafira ,1728000,2005,245000  կմ ,Opel Zafira 1.6,Ունիվերսալ,Մեխանիկական,Ձախ,Բենզին,Արծաթագույն,Մոխրագույն,1.6,97,4,Առջևի,5,"16""",,,13.01.2021
Hyundai,Santa Fe ,2976000,2018,78044  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,3.3,,,,,,,,13.01.2021
Toyota,Camry ,9792000,2019,27000  մղոն ,V 70,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,13.01.2021
Kia,Forte ,2640000,2009,130000  մղոն ,2 doch,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Այլ գույն,2.0,156,,Առջևի,4,"15""",,,13.01.2021
Mercedes-Benz,CLA 250 ,8832000,2019,14374  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,2.0,,,,,,,,13.01.2021
Volkswagen,Golf ,1344000,1999,250000  կմ ,,Սեդան,Մեխանիկական,Ձախ,Գազ,Սև,,,,,,,,,,13.01.2021
Ford,Fusion ,4128000,2014,130000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Գազ,Մոխրագույն,,,,,,,,,,13.01.2021
Lexus,RX 330 ,4896000,2004,200  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Սպիտակ,,,,,,,,,,13.01.2021
Toyota,Rav 4 ,6576000,2014,39589  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Toyota,Rav 4 ,6672000,2017,46734  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Toyota,Camry ,11280000,2018,15000  կմ ,Toyota Camry SE,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
BMW,525 ,2688000,2002,230000  կմ ,Bmw 525i 2002,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,13.01.2021
Toyota,Rav 4 ,6000000,2015,69606  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Նարնջագույն,,,,,,,,,,13.01.2021
UAZ,Այլ/Օther ,1056000,1990,60000  կմ ,,Մինիվեն /  Միկրոավտոբուս,Մեխանիկական,Ձախ,Բենզին,Կանաչ,,,,,,,,,,13.01.2021
Toyota,Rav 4 ,5520000,2014,79719  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Volkswagen,Jetta ,3744000,2012,117821  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Այլ գույն,2.5,170,5,Առջևի,4,"17""",,,13.01.2021
Nissan,BlueBird ,2352000,2006,40000  կմ ,2 mator cax xek 40000km,Սեդան,Վարիատոր,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Volkswagen,Passat ,4464000,2012,64572  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Սև,2.5,170,5,Առջևի,4,"17""",,,13.01.2021
Toyota,Rav 4 ,5232000,2015,53586  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Chevrolet,Tahoe ,8880000,2018,28869  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,5.3,,,,,,,,13.01.2021
Hyundai,Santa Fe ,3744000,2019,34491  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,3.3,,,,,,,,13.01.2021
Chevrolet,Traverse ,3456000,2018,74670  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,3.6,,,,,,,,13.01.2021
Lexus,LX 570 ,55000000,2019,1550  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Բեժ ,5.7,,,Լիաքարշակ,5,,,,13.01.2021
Hyundai,Santa Fe ,6240000,2017,96434  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,13.01.2021
BMW,745 ,3072000,2003,170000  կմ ,745 L.i,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Բեժ ,4.4,333,,,,,,,13.01.2021
Toyota,Ipsum ,3312000,2006,107000  կմ ,S240 SPORT 4×4 107000 km,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,13.01.2021
Hyundai,Santa Fe ,6480000,2017,41211  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կարմիր,,,,,,,,,,13.01.2021
Hyundai,Santa Fe ,5136000,2015,60629  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,13.01.2021
Mercedes-Benz,E 320 ,2064000,1999,168000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Գազ,Կապույտ,,,,,,,,,,13.01.2021
Hyundai,Santa Fe ,4704000,2010,165000  կմ ,,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Արծաթագույն,,,,,,,,,,13.01.2021
Toyota,Corolla ,6960000,2018,16500  մղոն ,Acura ILX Advance,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Kia,Forte ,2496000,2010,100000  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Բեժ ,2.0,156,4,Առջևի,4,"15""",,,13.01.2021
Toyota,Camry ,3120000,2009,160000  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Հիբրիդ,Սպիտակ,Մոխրագույն,,147,,,4,,,,13.01.2021
Ford,Fusion ,3264000,2013,111000  մղոն ,SE,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,2.5,170,4,,5,"17""",,,13.01.2021
Toyota,Camry ,10560000,2018,37000  մղոն ,"XSE,ՇՏԱՊ,ՖՈՒԼ,ԻԴԻԱԼԱԿԱՆ անթերի",Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,2.5,,,,4,,,,13.01.2021
Mercedes-Benz,V 230 ,2880000,2000,190000  կմ ,,Մինիվեն /  Միկրոավտոբուս,Մեխանիկական,Ձախ,Գազ,Սև,,,,,,,,,,13.01.2021
Lexus,IS 250 ,4560000,2008,216000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Սև,,,,,,,,,13.01.2021
Hyundai,Sonata ,2208000,2018,36590  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,2.4,,,,,,,,13.01.2021
Honda,Civic ,3648000,2020,2765  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,2.0,,,,,,,,13.01.2021
Ford,Fusion ,6960000,2017,90000  կմ ,Hybrid Se,Սեդան,Ավտոմատ,Ձախ,Հիբրիդ,Մոխրագույն,Սև,2.0,,4,Առջևի,,"18""",,,13.01.2021
Ford,Transit ,3792000,2000,200000  կմ ,,,Մեխանիկական,Ձախ,Դիզել,Սպիտակ,,2.4,85,,Առջևի,4,,,,13.01.2021
Jeep,Grand Cherokee ,2016000,2002,121232  կմ ,4.0,Ամենագնաց,Ավտոմատ,Ձախ,Գազ,Մոխրագույն,,,,,,,,,,13.01.2021
DUCATI,959 ,6000000,2016,5000  կմ ,Panigale,,Մեխանիկական,,Բենզին,Կարմիր,,,,,,,,,,13.01.2021
Mercedes-Benz,E 43 AMG ,31200000,2017,60000  կմ ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,13.01.2021
Hyundai,Kona ,4272000,2020,10549  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,2.0,,,,,,,,13.01.2021
Hyundai,Kona ,2112000,2018,26858  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,2.0,,,,,,,,13.01.2021
Hyundai,Kona ,3408000,2019,36252  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,2.0,,,,,,,,13.01.2021
Porsche,Cayenne ,12000000,2015,44922  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,13.01.2021
Audi,A5 ,5040000,2014,58537  մղոն ,,Կաբրիոլետ / Ռոդսթեր,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,13.01.2021
Nissan,Altima ,Պայ,2016,63000  կմ ,SR,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Սև,2.5,182,4,Առջևի,4,"18""",,,13.01.2021
Ford,Fusion ,2736000,2014,90000  մղոն ,2.5,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Սև,2.5,175,4,Առջևի,4,"17""",,,13.01.2021
Hyundai,Elantra ,3600000,2017,23932  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,,,,,,,,,13.01.2021
Toyota,Land Cruiser Prado ,12720000,2011,136000  կմ ,2.7,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Hyundai,Elantra ,3888000,2018,20833  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,13.01.2021
Hyundai,Elantra ,3840000,2017,47304  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Hyundai,Elantra ,4608000,2019,25722  մղոն ,SE,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,13.01.2021
Hyundai,Elantra ,3696000,2017,19600  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Lexus,RX 400h ,6000000,2005,160000  մղոն ,,Ունիվերսալ,Ավտոմատ,Ձախ,Հիբրիդ,Կապույտ,Մոխրագույն,,270,,,5,,,,13.01.2021
Hyundai,Elantra ,4560000,2019,31071  մղոն ,SE,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
BMW,328 ,4464000,2010,143000  կմ ,,Կուպե,Ավտոմատ,Ձախ,Գազ,Սպիտակ,,,,,,,,,,13.01.2021
Hyundai,Kona ,4704000,2018,14887  կմ ,ULTIMATE,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,,1.6,,,,,,,,13.01.2021
Hyundai,Elantra ,4464000,2018,54665  մղոն ,SEL,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,13.01.2021
Toyota,Camry ,12480000,2018,9500  կմ ,2.5 SE,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,,,,,,,,,,13.01.2021
Hyundai,Elantra ,4416000,2018,13717  մղոն ,SEL,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Hyundai,Kona ,6720000,2020,544  մղոն ,LIMITED,Ամենագնաց,Ավտոմատ,Ձախ,Էլեկտրական,Մոխրագույն,,,,,,,,,,13.01.2021
Hyundai,Elantra ,4704000,2019,57725  մղոն ,SE,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Hyundai,Kona ,6576000,2020,2674  մղոն ,ԷԼԵԿՏՐԱԿԱՆ,Ամենագնաց,Ավտոմատ,Ձախ,Էլեկտրական,Կարմիր,,,,,,,,,,13.01.2021
Honda,Odyssey ,2832000,2008,122000  կմ ,,Մինիվեն /  Միկրոավտոբուս,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Բեժ ,3.5,244,5,Առջևի,5,,,,13.01.2021
Hyundai,Elantra ,3024000,2015,111424  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,13.01.2021
Hyundai,Elantra ,3024000,2015,103699  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,,,,,,,,,,13.01.2021
Toyota,Highlander ,12000000,2015,66000  մղոն ,,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,,,,,,,,,,13.01.2021
Hyundai,Elantra ,3072000,2015,111712  մղոն ,,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Mercedes-Benz,E 430 ,2400000,1998,180000  կմ ,Avangard,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
Mercedes-Benz,C 230 ,3120000,2005,131000  կմ ,"1,8 compressor",Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Սև,1.8,150,4,Ետևի,4,"16""",,,13.01.2021
Hyundai,Veloster ,3408000,2015,101342  մղոն ,,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,,,,,,,,,,13.01.2021
